Tvalue/_class,Tvalue/__text,Nvalue/_class,Nvalue/__text,Mvalue/_class,Mvalue/__text,stagetablevalue/0/_class,stagetablevalue/0/_outputclass,stagetablevalue/0/__text,stagetablevalue/1/_class,stagetablevalue/1/_outputclass,stagetablevalue/1/__text,stagegroup/_class,stagegroup/__text,_class
#NAME?,cT3b,#NAME?,cN0,#NAME?,cM0,#NAME?,AJCCfactor-PSA,"greater than or equal to
        20",#NAME?,AJCCfactor-GG,4,#NAME?,IIIB,#NAME?
#NAME?,cT4,#NAME?,cN0,#NAME?,cM0,#NAME?,AJCCfactor-PSA,less than 10,#NAME?,AJCCfactor-GG,1,#NAME?,IIIB,#NAME?
#NAME?,cT4,#NAME?,cN0,#NAME?,cM0,#NAME?,AJCCfactor-PSA,less than 10,#NAME?,AJCCfactor-GG,2,#NAME?,IIIB,#NAME?
#NAME?,cT4,#NAME?,cN0,#NAME?,cM0,#NAME?,AJCCfactor-PSA,less than 10,#NAME?,AJCCfactor-GG,3,#NAME?,IIIB,#NAME?
#NAME?,cT4,#NAME?,cN0,#NAME?,cM0,#NAME?,AJCCfactor-PSA,less than 10,#NAME?,AJCCfactor-GG,4,#NAME?,IIIB,#NAME?
#NAME?,cT4,#NAME?,cN0,#NAME?,cM0,#NAME?,AJCCfactor-PSA,"greater than or equal to 10, but less than
        20",#NAME?,AJCCfactor-GG,1,#NAME?,IIIB,#NAME?
#NAME?,cT4,#NAME?,cN0,#NAME?,cM0,#NAME?,AJCCfactor-PSA,"greater than or equal to 10, but less than
        20",#NAME?,AJCCfactor-GG,2,#NAME?,IIIB,#NAME?
#NAME?,cT4,#NAME?,cN0,#NAME?,cM0,#NAME?,AJCCfactor-PSA,"greater than or equal to 10, but less than
        20",#NAME?,AJCCfactor-GG,3,#NAME?,IIIB,#NAME?
#NAME?,cT4,#NAME?,cN0,#NAME?,cM0,#NAME?,AJCCfactor-PSA,"greater than or equal to 10, but less than
        20",#NAME?,AJCCfactor-GG,4,#NAME?,IIIB,#NAME?
#NAME?,cT4,#NAME?,cN0,#NAME?,cM0,#NAME?,AJCCfactor-PSA,"greater than or equal to
        20",#NAME?,AJCCfactor-GG,1,#NAME?,IIIB,#NAME?
